artistName,tags,hoursPlayed
Lykke Li,"indie pop, female vocalists, swedish, electronic, pop",0.9748472222222222
Lizzy McAlpine,"indie pop, folk, indie folk, my top songs, usa",0.9575575
Goody Grace,"singer-songwriter, canadian, indie, rap, alternative",0.9537752777777778
Sonder,"rnb, soul, neo-soul, alternative rnb, electronic",0.9463719444444444
Iris,"synthpop, electronic, futurepop, hard rock, rock",0.9429719444444444
Sabrina Carpenter,"pop, female vocalists, rnb, american, my top songs",0.9330247222222222
Connie Francis,"oldies, female vocalists, 50s, pop, 60s",0.9283447222222222
Clara La San,"alternative rnb, british, pop, ambient, rnb",0.9276513888888889
Travis Scott,"hip-hop, trap, rap, travis scott, hip hop",0.9143144444444444
Them & I,,0.9054669444444444
J Balvin,"reggaeton, pop, colombian, latin, colombia",0.9046863888888889
Isaiah Rashad,"hip-hop, rap, underground hip-hop, hip hop, underground rap",0.9042719444444445
Edith Whiskers,"cover, uk, england",0.9021141666666667
Katy Perry,"pop, female vocalists, pop rock, indie, rock",0.9001436111111111
Charli xcx,"pop, synthpop, electronic, female vocalists, electroclash",0.8825894444444444
Megadeth,"thrash metal, heavy metal, speed metal, metal, thrash",0.8714741666666667
whatsaheart,"shoegaze, emo, scene, emocore, scenecore",0.8658463888888889
Eazy-E,"gangsta rap, hip-hop, rap, west coast, hip hop",0.8574244444444444
Etta James,"blues, soul, jazz, female vocalists, rhythm and blues",0.8508613888888888
Marian Moise,"dissonant noise rock, harsh noise, no wave, christian liturgical music",0.8264847222222222
Slowdive,"shoegaze, dream pop, ambient, indie, indie rock",0.8246280555555555
Timpuri Noi,"romanian, rock, alternative rock, alternative, industrial",0.8130975
Ken Carson,"rage, trap, cloud rap, rap, opium",0.8055805555555555
Maria Coman,"vocal, world music, ethnic, romanian, chants",0.8018475
DJ Snake,"trap, electronic, dance, edm, french",0.8006783333333334
She & Him,,0.7984872222222222
Michael Bublé,"jazz, swing, pop, easy listening, canadian",0.7864025
Gary Moore,"blues rock, blues, hard rock, rock, classic rock",0.7851555555555556
Sean Paul,"dancehall, reggae, hip-hop, rnb, rap",0.7736894444444444
Electric Light Orchestra,"classic rock, progressive rock, rock, 70s, british",0.7584825
Blood Orange,"chillwave, indie, rnb, alternative rnb, indie pop",0.7574461111111112
Outkast,"hip-hop, funk, rap, soul, hip hop",0.75241
boygenius,"indie rock, indie folk, indie, folk, female vocalists",0.7392569444444445
Billie Holiday,"jazz, blues, female vocalists, vocal jazz, jazz vocal",0.7382216666666667
Milky Chance,"indie, indie rock, reggae, german, singer-songwriter",0.7375894444444444
get lost stranger,,0.7219958333333333
Destroy Lonely,"opium, trap, plugg, rap, woman beater",0.7140633333333334
Ben E. King,"soul, 60s, blues, oldies, classic rock",0.7014941666666666
Red Hot Chili Peppers,"rock, alternative rock, funk rock, alternative, funk",0.6936322222222222
ROLE MODEL,"8-bit, chiptune, electronic, 8bit, pop",0.6908766666666667
The Animals,"classic rock, 60s, rock, british, oldies",0.6898688888888889
The Rolling Stones,"classic rock, rock, british, 60s, blues",0.6851069444444444
Tears For Fears,"new wave, 80s, synth pop, pop, rock",0.6794644444444444
Beyoncé,"rnb, pop, female vocalists, soul, hip-hop",0.6765302777777777
Cemeteries,"dream pop, ambient, indie, shoegaze, ethereal",0.6738794444444445
Eagles,"classic rock, rock, 70s, soft rock, country",0.6660344444444445
Air,"electronic, chillout, ambient, french, electronica",0.6625561111111111
RAYE,"pop, rnb, british, female vocalists, my top songs",0.6515005555555555
Neil Young,"classic rock, singer-songwriter, folk, rock, folk rock",0.6502005555555556
Buck Owens,"country, classic country, honky tonk, bakersfield sound, americana",0.6470108333333333
Chief Keef,"hip-hop, rap, drill, gangsta rap, trap",0.646775
Steve Lacy,"free jazz, jazz, rnb, saxophone, avant-garde jazz",0.6329316666666667
Corala bărbătească ortodoxă Armonia,,0.6307261111111111
Deep Purple,"hard rock, classic rock, rock, progressive rock, heavy metal",0.6222605555555556
Ricky Montgomery,"indie, pop, indie pop, my top songs, indie rock",0.62114
Jessie J,"pop, british, female vocalists, rnb, singer-songwriter",0.6201038888888889
Wings,"classic rock, rock, 70s, british, pop",0.6192202777777778
Cicada VHS,,0.6164080555555556
"Dream, Ivory","dream pop, shoegaze, lo-fi, indie rock, indie",0.6020108333333334
Sam Phillips,"singer-songwriter, female vocalists, alternative, indie, august",0.5991736111111111
Creedence Clearwater Revival,"classic rock, rock, southern rock, 60s, folk",0.5958011111111111
Bill Withers,"soul, funk, 70s, rhythm and blues, rnb",0.5914008333333334
One Direction,"pop, british, boyband, one direction, x factor",0.5872488888888889
KAYTRANADA,"electronic, hip-hop, beats, experimental, house",0.5858822222222222
lilster,,0.5835158333333333
dreamyone,,0.5831427777777778
Gracie Abrams,"pop, indie pop, my top songs, singer-songwriter, indie",0.5769413888888889
alex_g_offline,"indie, usa, unreleased, misery, cringe",0.5714577777777777
natalie jinju,,0.5663613888888889
Phoenix,"indie, french, indie pop, electronic, rock",0.5597986111111111
Pearl Jam,"grunge, rock, alternative rock, 90s, alternative",0.5595583333333334
Cargo,"hard rock, progressive rock, romanian, heavy metal, rock",0.5545422222222223
Dire Straits,"classic rock, rock, 80s, blues, guitar",0.5537419444444445
Lady Gaga,"pop, dance, electronic, female vocalists, female vocalist",0.5409575
Gregory Alan Isakov,"folk, singer-songwriter, acoustic, americana, indie",0.5387780555555556
Major Lazer,"electronic, dancehall, reggae, dub, electro",0.5301788888888889
Céline Dion,"pop, female vocalists, canadian, 90s, french",0.529835
The Cure,"post-punk, new wave, alternative, 80s, rock",0.5287483333333334
Men I Trust,"dream pop, indie pop, indie, sophisti-pop, downtempo",0.5250586111111111
The Ronettes,"60s, pop, soul, oldies, motown",0.5236972222222223
Louis Armstrong,"jazz, blues, swing, trumpet, oldies",0.5231733333333334
B.o.B,"hip-hop, rap, hip hop, dirty south, atlanta",0.5217333333333334
Manchester Orchestra,"indie rock, indie, alternative, rock, alternative rock",0.5174361111111111
sign crushes motorist,"slowcore, lo-fi, irish, indie, lo-fi indie",0.5084502777777777
Clean Bandit,"electronic, indie, british, experimental, electronica",0.5057930555555555
G-Eazy,"hip-hop, rap, hip hop, american, lil wayne",0.5056158333333334
Labi Siffre,"soul, funk, singer-songwriter, pop, british",0.5034475
Bob Marley & The Wailers,,0.49617694444444443
RUBII,"rnb, bristol, alternative rnb, british, urban",0.4961583333333333
Frou Frou,"electronic, female vocalists, indie, alternative, electronica",0.4937636111111111
Jim Croce,"folk, singer-songwriter, classic rock, 70s, rock",0.48852527777777777
The Mamas & The Papas,,0.48105472222222223
Zara Larsson,"pop, swedish, female vocalists, sweden, indie",0.4800675
MAGIC!,"reggae, pop, canadian, soul, rock",0.47864277777777775
HWASA,"k-pop, pop, mamamoo, hwa sa, korean",0.47028583333333335
Vendredi sur Mer,"swiss, electronic, french, switzerland, female vocalists",0.4700358333333333
Lesley Gore,"60s, pop, oldies, female vocalists, classic rock",0.4673163888888889
Miguel,"rnb, soul, r&b, hip-hop, hip hop",0.4653583333333333
Rocco,"dance, trance, techno, house, electronic",0.4581375
Gigi Perez,"bedroom pop, singer-songwriter, indie, folk, my top songs",0.4566513888888889
X-Sonic,"synthpop, electropop, united states",0.45617083333333336
INXS,"rock, new wave, 80s, australian, pop",0.45587222222222223
