artistName,tags,hoursPlayed
Elias Rønnenfelt,"singer-songwriter, alternative, denmark, avant-garde, art rock",0.38992916666666666
Mechatok,"electronic, ambient, grime, abstract, germany",0.38180916666666664
Dorian Electra,"hyperpop, electropop, bubblegum bass, pop, synthpop",0.38072361111111114
The Handsome Family,"alt-country, folk, country, americana, southern gothic",0.38060166666666667
A$AP Rocky,"hip-hop, rap, underground hip-hop, swag, cloud rap",0.37073194444444446
Steely Dan,"jazz rock, classic rock, rock, 70s, jazz",0.3686925
The Cardigans,"pop, rock, female vocalists, swedish, alternative",0.3657972222222222
High Vis,"post-punk, crank wave, post-brexit new wave, punk rock, post-hardcore",0.36579666666666666
Saya Gray,"art pop, indietronica, indie folk, singer-songwriter, indie pop",0.36331305555555554
waera,,0.3621122222222222
Childish Gambino,"hip-hop, rap, hip hop, indie, underground hip-hop",0.36210611111111113
Ken Carson,"rage, trap, cloud rap, rap, opium",0.35965305555555555
Car Seat Headrest,"lo-fi, indie rock, indie, noise pop, furry",0.35751916666666667
Amy Winehouse,"soul, jazz, female vocalists, british, singer-songwriter",0.3543911111111111
Ween,"experimental, alternative, rock, indie, alternative rock",0.35399555555555556
Acopia,"dream pop, electronic, australia, downtempo, trip-hop",0.35361444444444445
Gore girl,,0.35324194444444446
Dog Faced Hermans,"post-punk, no wave, avant-garde, anarcho-punk, punk",0.3520358333333333
Yun Head,"honolulu, usa, art pop, rap, comedy rap",0.34326222222222225
Whethan,"electronic, pop, hip-hop, american, future bass",0.34092083333333334
Phoenix,"indie, french, indie pop, electronic, rock",0.3365722222222222
DEZI,"pop, indie, alternative, dark pop, multiple artists",0.3248736111111111
Edward Skeletrix,"cloud rap, experimental, post-rage, rage, plugg",0.31933527777777776
Kilo Kish,"hip-hop, alternative rnb, rnb, neo-soul, alternative hip-hop",0.3185908333333333
Addison Rae,"pop, american, electropop, alt-pop, queen of pop",0.3079325
Sezen Aksu,"turkish, female vocalists, turkish pop, sezen aksu, pop",0.3077061111111111
Clairo,"bedroom pop, indie pop, dream pop, lo-fi, pop",0.30485222222222225
Captain Beefheart & His Magic Band,"experimental, avant-garde, psychedelic, blues, rock",0.303425
Y2K,"electronic, rap, hip-hop, hip hop, y2k",0.30156805555555555
Ravyn Lenae,"rnb, soul, neo-soul, alternative rnb, electronic",0.2964819444444444
Sea Power,"indie rock, ambient, alternative rock, post-rock, uk",0.2963102777777778
Covers Unplugged,lofi,0.2890988888888889
The Smiths,"post-punk, indie, new wave, 80s, alternative",0.28904
femtanyl,"digital hardcore, breakcore, electronic, hardcore breaks, footwork",0.2862691666666667
Lava La Rue,"rap, soul, rnb, hip-hop, hip hop",0.28305444444444444
siouxxie sixxsta,"hyperpop, trap, horrorcore, rap, hip-hop",0.282695
lots of hands,"indie pop, indie rock, bedroom pop, lo-fi, lo-fi indie",0.2755738888888889
21 Savage,"trap, hip-hop, rap, hip hop, atlanta",0.27540611111111113
Ivy Knight,bedroom pop,0.27520916666666667
Skrillex,"dubstep, electronic, breakcore, electro, electronica",0.2723225
The Stooges,"proto-punk, garage rock, punk, punk rock, rock",0.27094833333333335
Këkht Aräkh,"black metal, atmospheric black metal, ukrainian, ukraine, ukrainian black metal",0.27088555555555555
And One,"synthpop, ebm, electronic, industrial, futurepop",0.2697302777777778
Crustsox,"incelcore, epunk, pop punk, emo, goat",0.2673741666666667
Drug Store Romeos,"dream pop, indie pop, indie, female vocalists, uk",0.26415333333333335
Machine Head,"thrash metal, groove metal, metal, heavy metal, metalcore",0.26381
Nova,"progressive rock, rock, italian progressive rock, black metal, gothic",0.2635188888888889
Lil B,"based, hip-hop, swag, real recognize real and this nigga the realest, rap",0.26033388888888886
Xavy Rusan,"rap, hip-hop, epidemic, funk_add_to_lidarr_batch_29",0.2582025
Lil Watermark,"incelcore, epunk, scream, punk, midwest emo",0.25438694444444443
Lil Wayne,"hip-hop, rap, dirty south, hip hop, southern rap",0.25235138888888886
gingerbee,"screamo, emo, noise pop, midwest emo, bedroom pop",0.24983166666666667
Ty Dolla $ign,"hip-hop, rap, rnb, hip hop, cloud rnb",0.24663555555555555
Sub Focus,"drum and bass, electronic, breakbeat, dnb, drum n bass",0.2452111111111111
Evie,"female vocalist, contemporary christian, christian, canadian, indie pop",0.24473416666666667
jonatan leandoer96,"indie rock, singer-songwriter, art pop, experimental, cloud rap",0.2418261111111111
Huncho Jack,"trap, rap, hip-hop, travis scott, quavo",0.24103722222222224
King Crimson,"progressive rock, experimental, classic rock, rock, progressive",0.24092083333333333
Dean Blunt,"experimental, lo-fi, dub, avant-garde, art pop",0.24077
Alvvays,"dream pop, indie pop, indie, lo-fi, canadian",0.2402711111111111
Panico,"post-punk, indie, chile, rock chileno, rock",0.2400625
John Legend,"soul, rnb, neo-soul, singer-songwriter, hip-hop",0.23670055555555555
Jamie Paige,"vocaloid, breakbeat, electronic, electropop, art pop",0.2348111111111111
Best Coast,"lo-fi, indie, female vocalists, garage pop, beach rock",0.23053
Asian Glow,"emo, shoegaze, noise pop, lo-fi, indie rock",0.23041111111111112
Eva Shaw,"house, dance, canadian, progressive house, electro house",0.2272722222222222
Rahn Rahn $plash,,0.22577527777777778
Geese,"post-punk, indie rock, art punk, crank wave, dance-punk",0.22367833333333334
Michael Bublé,"jazz, swing, pop, easy listening, canadian",0.22269166666666668
The Dare,"electroclash, new rave, electronic, electropop, dance-punk",0.22172833333333333
Oneohtrix Point Never,"ambient, drone, experimental, electronic, psychedelic",0.21706083333333334
None,"black metal, metalcore, atmospheric black metal, depressive black metal, thrash metal",0.21683
gjallarhornit,"folk, indie rock, trve kvlt neofolkabilly, gypsy rock",0.21178222222222223
Poppy,"pop, nu metal, metal, alternative metal, electropop",0.21074222222222222
Feng,"cloud rap, sigilkore, uk, uk hip hop, eroge",0.21014388888888888
Killa Hakan,"turkish rap, gangsta rap, rap, gangsta, turkish",0.20724277777777778
Nation,"power metal, melodic metal, synthpop, metal, heavy metal",0.20702
Theodore Shapiro,"soundtrack, composer, instrumental, contemporary classical, movie score composers",0.20138333333333333
SWRSLT,"ew, australia",0.20104944444444445
Les Rallizes Dénudés,"noise rock, psychedelic rock, psychedelic, noise, japanese",0.1956702777777778
88rising,"hip-hop, rnb, rap, soul, american",0.19274777777777777
blackwinterwells,"emo rap, digicore, cloud rap, hyperpop, pop rap",0.192005
Songs: Ohia,"singer-songwriter, folk, alt-country, indie, indie rock",0.1910961111111111
Soccer Mommy,"indie pop, indie, indie rock, singer-songwriter, lo-fi",0.1906136111111111
Kemet Dank,"hip hop, electronic, sex, usa, dank-core",0.18651
Борис Сичевський,"folk, ukraine, ukrainian",0.1846825
kmoe,"hyperpop, digicore, trap, electronic, canada",0.1843311111111111
Laura Shigihara,"soundtrack, video game music, female vocalists, pop, piano",0.183375
Kate Bush,"female vocalists, singer-songwriter, pop, alternative, 80s",0.1825702777777778
jackzebra,"chinese, plugg, cloud rap, pluggnb, rage",0.18159666666666666
The xx,"indie, electronic, post-punk, british, dance",0.1794888888888889
Tay-K,"trap, rap, plugg, hip-hop, cloud rap",0.17745166666666667
